,id,Frequency,change,Host,Common,,Common,Rare,Cmean,Rmean,CSD,RSD,CN,RN,SW,d,J,Vd,g,Vg
69,33,rare,-0.003132,CB4856,ewir68,,,,,,,,,,,,,,,
70,34,rare,-0.0089485,CB4856,ewir68,,,,,,,,,,,,,,,
71,35,rare,-0.0957496,CB4856,ewir68,,,,,,,,,,,,,,,
72,36,rare,-0.087248333,CB4856,ewir68,,,,,,,,,,,,,,,
13,13,common,-0.040891836,LTM1,LTM1,,,,,,,,,,,,,,,
14,14,common,0.070091278,LTM1,LTM1,,,,,,,,,,,,,,,
15,15,common,0.032831621,LTM1,LTM1,,,,,,,,,,,,,,,
16,16,common,-0.10452795,LTM1,LTM1,,,,,,,,,,,,,,,
17,17,common,0.021753783,LTM1,LTM1,,,,,,,,,,,,,,,
18,18,common,0.000922372,LTM1,LTM1,,,,,,,,,,,,,,,
19,19,common,-0.030031705,LTM1,LTM1,,,,,,,,,,,,,,,
20,20,common,0.012370025,LTM1,LTM1,,,,,,,,,,,,,,,
21,21,common,0.008036785,LTM1,LTM1,,,,,,,,,,,,,,,
22,22,common,0.052127548,LTM1,LTM1,,,,,,,,,,,,,,,
23,23,common,0.082434991,LTM1,LTM1,,,,,,,,,,,,,,,
24,24,common,0.018361299,LTM1,LTM1,,,,,,,,,,,,,,,
49,13,rare,-0.028256184,N2,LTM1,,,,,,,,,,,,,,,
50,14,rare,0.007449053,N2,LTM1,,,,,,,,,,,,,,,
51,15,rare,-0.049460674,N2,LTM1,,,,,,,,,,,,,,,
52,16,rare,-0.289271254,N2,LTM1,,,,,,,,,,,,,,,
53,17,rare,0.000769314,N2,LTM1,,,,,,,,,,,,,,,
54,18,rare,-0.043016948,N2,LTM1,,,,,,,,,,,,,,,
55,19,rare,-0.155315509,N2,LTM1,,,,,,,,,,,,,,,
56,20,rare,0.036197201,N2,LTM1,,,,,,,,,,,,,,,
57,21,rare,0.045693912,N2,LTM1,,,,,,,,,,,,,,,
58,22,rare,0.010587644,N2,LTM1,,,,,,,,,,,,,,,
59,23,rare,0.075271844,N2,LTM1,,,,,,,,,,,,,,,
60,24,rare,0.029103037,N2,LTM1,,,,,,,,,,,,,,,
1,1,common,0.071879504,N2,N2,,,,,,,,,,,,,,,
2,2,common,-0.003863635,N2,N2,,,,,,,,,,,,,,,
3,3,common,0.011771183,N2,N2,,,,,,,,,,,,,,,
4,4,common,0.034228415,N2,N2,,,,,,,,,,,,,,,
5,5,common,0.001731239,N2,N2,,,,,,,,,,,,,,,
6,6,common,0.025646426,N2,N2,,,,,,,,,,,,,,,
7,7,common,0.015163522,N2,N2,,,,,,,,,,,,,,,
8,8,common,0.0268513,N2,N2,,,,,,,,,,,,,,,
9,9,common,0.081343413,N2,N2,,,,,,,,,,,,,,,
10,10,common,-0.044623446,N2,N2,,,,,,,,,,,,,,,
11,11,common,0.050270809,N2,N2,,,,,,,,,,,,,,,
12,12,common,0.137299748,N2,N2,,,,,,,,,,,,,,,
37,1,rare,0.03955099,LTM1,N2,,,,,,,,,,,,,,,
38,2,rare,-0.044360734,LTM1,N2,,,,,,,,,,,,,,,
39,3,rare,0.02660678,LTM1,N2,,,,,,,,,,,,,,,
40,4,rare,-0.02313572,LTM1,N2,,,,,,,,,,,,,,,
41,5,rare,-0.174623915,LTM1,N2,,,,,,,,,,,,,,,
42,6,rare,-0.032831622,LTM1,N2,,,,,,,,,,,,,,,
43,7,rare,0.091573649,LTM1,N2,,,,,,,,,,,,,,,
44,8,rare,0.072255375,LTM1,N2,,,,,,,,,,,,,,,
45,9,rare,0.006607992,LTM1,N2,,,,,,,,,,,,,,,
46,10,rare,0.077214497,LTM1,N2,,,,,,,,,,,,,,,
47,11,rare,0.01094051,LTM1,N2,,,,,,,,,,,,,,,
48,12,rare,-0.01935854,LTM1,N2,,,,,,,,,,,,,,,
